Size,Time,Type
1000,137.0000000000,1
1000,0.0014690000,2
1000,8.0000000000,1
1000,0.0012940000,2
1000,6.0000000000,1
1000,0.0015220000,2
1000,35.0000000000,1
1000,0.0023680000,2
1000,3.0000000000,1
1000,0.0016690000,2
1000,5.0000000000,1
1000,0.0013780000,2
1000,5.0000000000,1
1000,0.0012710000,2
1000,6.0000000000,1
1000,0.0012120000,2
1000,6.0000000000,1
1000,0.0012250000,2
1000,20.0000000000,1
1000,0.0015870000,2
2000,6.0000000000,1
2000,0.0049060000,2
2000,5.0000000000,1
2000,0.0045520000,2
2000,7.0000000000,1
2000,0.0045260000,2
2000,6.0000000000,1
2000,0.0044720000,2
2000,6.0000000000,1
2000,0.0052710000,2
2000,5.0000000000,1
2000,0.0044720000,2
2000,6.0000000000,1
2000,0.0044960000,2
2000,7.0000000000,1
2000,0.0045280000,2
2000,6.0000000000,1
2000,0.0044870000,2
2000,6.0000000000,1
2000,0.0054910000,2
3000,7.0000000000,1
3000,0.0101620000,2
3000,7.0000000000,1
3000,0.0105920000,2
3000,7.0000000000,1
3000,0.0106100000,2
3000,7.0000000000,1
3000,0.0101420000,2
3000,8.0000000000,1
3000,0.0102010000,2
3000,7.0000000000,1
3000,0.0102020000,2
3000,8.0000000000,1
3000,0.0101770000,2
3000,7.0000000000,1
3000,0.0110950000,2
3000,7.0000000000,1
3000,0.0101870000,2
3000,7.0000000000,1
3000,0.0104290000,2
4000,9.0000000000,1
4000,0.0182640000,2
4000,8.0000000000,1
4000,0.0182870000,2
4000,9.0000000000,1
4000,0.0183590000,2
4000,9.0000000000,1
4000,0.0205410000,2
4000,9.0000000000,1
4000,0.0183520000,2
4000,19.0000000000,1
4000,0.0183320000,2
4000,7.0000000000,1
4000,0.0183020000,2
4000,8.0000000000,1
4000,0.0183070000,2
4000,9.0000000000,1
4000,0.0183380000,2
4000,8.0000000000,1
4000,0.0182790000,2
5000,9.0000000000,1
5000,0.0317870000,2
5000,11.0000000000,1
5000,0.0291300000,2
5000,10.0000000000,1
5000,0.0285950000,2
5000,9.0000000000,1
5000,0.0284530000,2
5000,11.0000000000,1
5000,0.0293590000,2
5000,9.0000000000,1
5000,0.0289850000,2
5000,11.0000000000,1
5000,0.0327750000,2
5000,10.0000000000,1
5000,0.0288940000,2
5000,11.0000000000,1
5000,0.0316820000,2
5000,9.0000000000,1
5000,0.0295100000,2
6000,13.0000000000,1
6000,0.0448830000,2
6000,11.0000000000,1
6000,0.0429240000,2
6000,13.0000000000,1
6000,0.0414170000,2
6000,11.0000000000,1
6000,0.0410960000,2
6000,11.0000000000,1
6000,0.0421190000,2
6000,12.0000000000,1
6000,0.0430620000,2
6000,13.0000000000,1
6000,0.0430670000,2
6000,11.0000000000,1
6000,0.0418610000,2
6000,12.0000000000,1
6000,0.0428890000,2
6000,14.0000000000,1
6000,0.0422950000,2
7000,15.0000000000,1
7000,0.0711400000,2
7000,14.0000000000,1
7000,0.0562970000,2
7000,15.0000000000,1
7000,0.0556600000,2
7000,13.0000000000,1
7000,0.0622620000,2
7000,15.0000000000,1
7000,0.0577060000,2
7000,13.0000000000,1
7000,0.0556330000,2
7000,13.0000000000,1
7000,0.0556840000,2
7000,15.0000000000,1
7000,0.0585380000,2
7000,14.0000000000,1
7000,0.0579690000,2
7000,15.0000000000,1
7000,0.0597820000,2
8000,15.0000000000,1
8000,0.0770610000,2
8000,15.0000000000,1
8000,0.0757270000,2
8000,16.0000000000,1
8000,0.0775160000,2
8000,15.0000000000,1
8000,0.0743510000,2
8000,15.0000000000,1
8000,0.0797350000,2
8000,15.0000000000,1
8000,0.0734400000,2
8000,16.0000000000,1
8000,0.0725180000,2
8000,17.0000000000,1
8000,0.0785380000,2
8000,15.0000000000,1
8000,0.0741850000,2
8000,19.0000000000,1
8000,0.0742890000,2
9000,21.0000000000,1
9000,0.0969150000,2
9000,17.0000000000,1
9000,0.0916800000,2
9000,17.0000000000,1
9000,0.0947140000,2
9000,28.0000000000,1
9000,0.0938790000,2
9000,17.0000000000,1
9000,0.0915940000,2
9000,19.0000000000,1
9000,0.0967550000,2
9000,23.0000000000,1
9000,0.0972600000,2
9000,19.0000000000,1
9000,0.0990030000,2
9000,22.0000000000,1
9000,0.0977360000,2
9000,17.0000000000,1
9000,0.0937160000,2
10000,19.0000000000,1
10000,0.1152960000,2
10000,18.0000000000,1
10000,0.1148380000,2
10000,25.0000000000,1
10000,0.1209090000,2
10000,20.0000000000,1
10000,0.1204560000,2
10000,20.0000000000,1
10000,0.1181210000,2
10000,35.0000000000,1
10000,0.1247080000,2
10000,24.0000000000,1
10000,0.1677100000,2
10000,28.0000000000,1
10000,0.1197910000,2
10000,20.0000000000,1
10000,0.1130690000,2
10000,19.0000000000,1
10000,0.1141580000,2
