Size,Naive,Better,BLAS
100,0.014929,0.013344,0.000283
100,0.012119,0.012719,0.000269
100,0.013902,0.013097,0.000261
100,0.013864,0.01174,0.000361
100,0.012441,0.012647,0.000387
100,0.014444,0.012117,0.000296
100,0.011339,0.011305,0.000258
100,0.012992,0.01246,0.000293
100,0.011877,0.011116,0.000262
100,0.012651,0.012442,0.000299
150,0.037403,0.037298,0.000939
150,0.037265,0.036636,0.00103
150,0.036914,0.036395,0.000947
150,0.037421,0.036689,0.000921
150,0.038264,0.036352,0.00094
150,0.037533,0.036126,0.000931
150,0.037176,0.036067,0.000939
150,0.037757,0.036289,0.000952
150,0.037192,0.036867,0.000997
150,0.037132,0.036569,0.000988
200,0.091531,0.084419,0.002619
200,0.094993,0.08453,0.002645
200,0.096194,0.086025,0.002574
200,0.099311,0.092182,0.002665
200,0.099255,0.085176,0.002608
200,0.097214,0.095093,0.004098
200,0.096603,0.084122,0.002575
200,0.09687,0.084691,0.002597
200,0.093832,0.088219,0.002558
200,0.096064,0.086865,0.002609
250,0.202054,0.169298,0.007704
250,0.18957,0.193721,0.005074
250,0.227724,0.192804,0.007226
250,0.214657,0.169011,0.008293
250,0.193586,0.167487,0.007839
250,0.203227,0.164274,0.007701
250,0.186508,0.168795,0.00808
250,0.191178,0.165249,0.007674
250,0.184972,0.162924,0.007558
250,0.18438,0.174048,0.00763
300,0.355396,0.306255,0.009228
300,0.343294,0.296841,0.008879
300,0.33078,0.284796,0.011682
300,0.344238,0.284907,0.01131
300,0.335259,0.334604,0.009099
300,0.397006,0.289523,0.011633
300,0.3547,0.291614,0.01146
300,0.346463,0.291987,0.011519
300,0.327817,0.292362,0.011392
300,0.34109,0.296937,0.012113
350,0.583283,0.450041,0.017294
350,0.515785,0.447962,0.01695
350,0.509332,0.44685,0.016449
350,0.50907,0.446916,0.016755
350,0.53873,0.461548,0.016454
350,0.53575,0.48723,0.016907
350,0.518439,0.447075,0.016744
350,0.514,0.449875,0.016658
350,0.506549,0.453517,0.016531
350,0.509899,0.446744,0.01663
400,0.790342,0.661122,0.024152
400,0.787404,0.661181,0.023838
400,0.789208,0.66339,0.024704
400,0.793805,0.660744,0.024456
400,0.790408,0.661542,0.024653
400,0.788586,0.661782,0.023934
400,0.790876,0.662486,0.024443
400,0.792027,0.663672,0.024298
400,0.790332,0.664137,0.024131
400,0.788538,0.661045,0.024246
450,1.14992,0.940044,0.033197
450,1.12307,0.940478,0.033381
450,1.12186,0.943398,0.03362
450,1.11813,0.949903,0.033389
450,1.12622,0.940007,0.032996
450,1.12433,0.939648,0.034238
450,1.13487,0.940229,0.034677
450,1.12244,0.949909,0.03367
450,1.12632,0.942288,0.033581
450,1.12215,0.940121,0.033103
500,1.60183,1.28687,0.045552
500,1.59675,1.30357,0.046863
500,1.60874,1.29093,0.046001
500,1.60675,1.29065,0.045611
500,1.59891,1.28982,0.045033
500,1.59905,1.28963,0.045733
500,1.60134,1.28791,0.046769
500,1.61401,1.28691,0.045197
500,1.5983,1.28729,0.046401
500,1.60899,1.29318,0.045161
