Size,Naive,Better,BLAS
100,0.011507,0.012418,0.000473
100,0.012199,0.011139,0.000463
100,0.011721,0.008668,0.000483
100,0.010218,0.011333,0.000317
100,0.008863,0.010395,0.000262
100,0.011006,0.008306,0.000328
100,0.011882,0.010337,0.000486
100,0.009165,0.009174,0.000312
100,0.008496,0.00927,0.00026
100,0.010761,0.008387,0.000281
150,0.030113,0.029459,0.00094
150,0.030392,0.030465,0.000915
150,0.029933,0.029592,0.001038
150,0.030034,0.028731,0.000916
150,0.030952,0.028782,0.000931
150,0.030275,0.028615,0.000929
150,0.03009,0.028854,0.000935
150,0.03426,0.030147,0.00107
150,0.032206,0.030398,0.000946
150,0.033759,0.02872,0.000956
200,0.074231,0.066926,0.002538
200,0.076784,0.070191,0.003263
200,0.076418,0.070779,0.002824
200,0.07754,0.068518,0.002596
200,0.076495,0.067749,0.002652
200,0.079932,0.075753,0.002586
200,0.080318,0.069168,0.002593
200,0.07506,0.074769,0.002527
200,0.075056,0.06956,0.002919
200,0.083422,0.073803,0.003076
250,0.153678,0.128786,0.007467
250,0.148577,0.128997,0.007602
250,0.146165,0.151443,0.007561
250,0.145456,0.128999,0.007431
250,0.147911,0.129077,0.00767
250,0.145987,0.128917,0.007461
250,0.149437,0.129529,0.005275
250,0.148883,0.129048,0.006597
250,0.144673,0.128998,0.005248
250,0.147035,0.138596,0.00535
300,0.256608,0.233148,0.01241
300,0.276257,0.239001,0.011727
300,0.275209,0.229707,0.011099
300,0.252732,0.224039,0.011179
300,0.253237,0.223317,0.011151
300,0.256221,0.223159,0.011225
300,0.253085,0.222954,0.011403
300,0.251959,0.222257,0.011191
300,0.251024,0.22283,0.01126
300,0.251748,0.226347,0.011188
350,0.406531,0.352333,0.01684
350,0.405266,0.350997,0.017034
350,0.404952,0.350094,0.016516
350,0.406076,0.351122,0.016504
350,0.404861,0.349955,0.016518
350,0.406717,0.350716,0.016917
350,0.407067,0.350472,0.01866
350,0.403083,0.351846,0.01672
350,0.448277,0.364752,0.017926
350,0.501324,0.397905,0.01638
400,0.816911,0.627118,0.026129
400,0.766943,0.527234,0.028024
400,0.632298,0.525774,0.024518
400,0.631153,0.526382,0.024397
400,0.640445,0.526774,0.025057
400,0.714189,0.58617,0.024299
400,0.63915,0.527087,0.024891
400,0.635761,0.526479,0.02453
400,0.632122,0.527159,0.024621
400,0.632808,0.524806,0.024449
450,0.893925,0.817824,0.033889
450,1.00138,0.76889,0.03355
450,0.889222,0.744116,0.033613
450,0.891156,0.746453,0.033952
450,0.89615,0.743362,0.033617
450,0.901013,0.744094,0.033342
450,0.8875,0.746829,0.033298
450,0.889671,0.744183,0.033491
450,0.891366,0.743043,0.036897
450,1.027,0.744471,0.034301
500,1.25265,1.02376,0.045371
500,1.30451,1.07822,0.045815
500,1.24254,1.03195,0.045341
500,1.24859,1.02346,0.046305
500,1.25416,1.02521,0.046415
500,1.24128,1.02251,0.045279
500,1.24992,1.02426,0.045003
500,1.25059,1.02471,0.046762
500,1.23726,1.02809,0.045873
500,1.25805,1.1062,0.048522
