Size,Time_lagrange,Time_newton,Time_poly
100,0,0.021082214,0.029194386
100,0,0.020925966,0.020845188
100,0,0.021064518,0.021615999
100,0,0.022975897,0.021929139
100,0,0.021131537,0.020930967
100,0,0.021056224,0.021084786
100,0,0.021088163,0.021195132
100,0,0.021043695,0.020985958
100,0,0.021044058,0.022462368
100,0,0.021096171,0.020933323
200,0,0.11278778,0.086801631
200,0,0.112634646,0.092231493
200,0,0.113489389,0.086812446
200,0,0.11264983,0.086930931
200,0,0.112682627,0.087854828
200,0,0.113410644,0.086839276
200,0,0.112911919,0.090768288
200,0,0.113881725,0.085873694
200,0,0.112206889,0.085832983
200,0,0.112153906,0.086552086
300,0,0.283394815,0.199128849
300,0,0.283038069,0.199839344
300,0,0.283112212,0.19929983
300,0,0.283186537,0.197847185
300,0,0.284392053,0.201490729
300,0,0.284080297,0.196565345
300,0,0.286571569,0.197625709
300,0,0.285712006,0.196833216
300,0,0.286492166,0.196021037
300,0,0.283485149,0.195990717
400,0,0.470601167,0.35428674
400,0,0.473200478,0.352852597
400,0,0.483420633,0.353895059
400,0,0.48054666,0.385753665
400,0,0.519630195,0.404588242
400,0,0.517515454,0.375628436
400,0,0.485873172,0.357720572
400,0,0.500481476,0.375930915
400,0,0.498593651,0.376737703
400,0,0.514599501,0.367678108
500,0,0.726739634,0.555215221
500,0,0.720489443,0.591904457
500,0,0.723850707,0.566373693
500,0,0.717042665,0.569816729
500,0,0.732224632,0.576130924
500,0,0.714300366,0.558956389
500,0,0.702275389,0.554035583
500,0,0.693555754,0.556973362
500,0,0.695808059,0.553986989
500,0,0.730571034,0.569953488
600,0,0.996144243,0.845868154
600,0,1.024486995,0.852661003
600,0,0.982859534,0.85343775
600,0,0.991956589,0.807201263
600,0,0.973075767,0.802801057
600,0,0.971038963,0.800539678
600,0,0.970951995,0.80250274
600,0,0.971682312,0.799095344
600,0,0.968933157,0.82029637
600,0,1.015159738,0.859073237
700,0,1.373833267,1.111083114
700,0,1.283473229,1.094183448
700,0,1.27472679,1.089230492
700,0,1.275049199,1.089519274
700,0,1.275175058,1.089039686
700,0,1.282545289,1.090748488
700,0,1.274606493,1.092789256
700,0,1.274660851,1.090738402
700,0,1.27427192,1.09127534
700,0,1.2743947,1.088781915
800,0,1.627601707,1.428178021
800,0,1.6281254,1.427352682
800,0,1.626882597,1.423908819
800,0,1.627439615,1.429033007
800,0,1.625626938,1.423978172
800,0,1.627159319,1.424457032
800,0,1.627181316,1.423914915
800,0,1.627311664,1.428331433
800,0,1.625377264,1.42798286
800,0,1.626934386,1.423880945
900,0,2.037269477,1.809912794
900,0,2.037008771,1.810033792
900,0,2.037996619,1.806712013
900,0,2.036082748,1.802656372
900,0,2.034356233,1.810767986
900,0,2.036359463,1.904036612
900,0,2.197359579,1.860849547
900,0,2.072359922,1.86239956
900,0,2.046575845,1.854603826
900,0,2.096819844,1.804135384
1000,0,2.515427444,2.352598706
1000,0,2.558580072,2.349259469
1000,0,2.551214301,2.286831305
1000,0,2.508986882,2.348714947
1000,0,2.491265029,2.240615792
1000,0,2.57409369,2.385432957
1000,0,2.516711517,2.27592105
1000,0,2.517793506,2.273522782
1000,0,2.518326359,2.272686045
1000,0,2.505876733,2.290550564
